1629046748345,2021.08.15 19:59:08.345,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MVoid* CVEStoryboardData::MakeTransformArray(MDWord*, MRESULT*, AMVE_POSITION_RANGE_TYPE*, MBool)----ERR----this(0x76f9fea000) err 0x85e045
1629047545345,2021.08.15 20:12:25.345,ERROR,PRETTY_LOGGER,ModuleID(0x1)----MRESULT CMV2Player::DoRefreshStream()----ERR----this(0x76fab96400) err 0x84f03a
1629051168050,2021.08.15 21:12:48.050,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,2569), res:0x00000000
1629051168051,2021.08.15 21:12:48.051,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2569,0), res:0x00000000
1629051168080,2021.08.15 21:12:48.080,ERROR,PRETTY_LOGGER,ModuleID(0x80)----virtual MRESULT CVEVideoTrack::GetKeyFrame(MBool, MDWord, MDWord*, MBool)----ERR----this(0x7ce3a47580) err 0x104
1629051180895,2021.08.15 21:13:00.895,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,2569), res:0x00000000
1629051180896,2021.08.15 21:13:00.896,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2569,0), res:0x00000000
1629051180954,2021.08.15 21:13:00.954,ERROR,PRETTY_LOGGER,ModuleID(0x80)----virtual MRESULT CVEVideoTrack::GetKeyFrame(MBool, MDWord, MDWord*, MBool)----ERR----this(0x7ce3a47580) err 0x104
1629051182838,2021.08.15 21:13:02.838,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,2569), res:0x00000000
1629051182838,2021.08.15 21:13:02.838,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2569,0), res:0x00000000
1629051182877,2021.08.15 21:13:02.877,ERROR,PRETTY_LOGGER,ModuleID(0x80)----virtual MRESULT CVEVideoTrack::GetKeyFrame(MBool, MDWord, MDWord*, MBool)----ERR----this(0x7ce3a47580) err 0x104
1629051189812,2021.08.15 21:13:09.812,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,2569), res:0x00000000
1629051189812,2021.08.15 21:13:09.812,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2569,0), res:0x00000000
1629051189841,2021.08.15 21:13:09.841,ERROR,PRETTY_LOGGER,ModuleID(0x80)----virtual MRESULT CVEVideoTrack::GetKeyFrame(MBool, MDWord, MDWord*, MBool)----ERR----this(0x7ce3a47580) err 0x104
1629051239411,2021.08.15 21:13:59.411,ERROR,PRETTY_LOGGER,ModuleID(0x1)----virtual MRESULT CMV2MediaOutputStream::SeekAudio(MDWord*)----ERR----this(0x7cd8a17d00) err 0x4009
1629051367786,2021.08.15 21:16:07.786,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MVoid* CVEStoryboardData::MakeTransformArray(MDWord*, MRESULT*, AMVE_POSITION_RANGE_TYPE*, MBool)----ERR----this(0x7ce77c1800) err 0x85e045
1629051367937,2021.08.15 21:16:07.937,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd97de800 dwIndex=0,out of range
1629051367968,2021.08.15 21:16:07.968,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd2ce8000 dwIndex=0,out of range
1629051367996,2021.08.15 21:16:07.996,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ccebf6000 dwIndex=0,out of range
1629051368025,2021.08.15 21:16:08.025,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce7de800 dwIndex=0,out of range
1629051368054,2021.08.15 21:16:08.054,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce7df800 dwIndex=0,out of range
1629051368106,2021.08.15 21:16:08.106,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cd0b4e000 dwIndex=0,out of range
1629051368128,2021.08.15 21:16:08.128,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7ccf424800 dwIndex=0,out of range
1629051368146,2021.08.15 21:16:08.146,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce2d5800 dwIndex=0,out of range
1629051368183,2021.08.15 21:16:08.183,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce2d6000 dwIndex=0,out of range
1629051368201,2021.08.15 21:16:08.201,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce381000 dwIndex=0,out of range
1629051368231,2021.08.15 21:16:08.231,ERROR,PRETTY_LOGGER,ModuleID(0x40)----MRESULT CVEBaseClip::GetEffectByGroup(MDWord, MDWord, MDWord, void**)----ERR----0x7cce381800 dwIndex=0,out of range
1629051413060,2021.08.15 21:16:53.060,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,3000), res:0x00000000
1629051413060,2021.08.15 21:16:53.060,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2000,1000), res:0x00000000
1629051428494,2021.08.15 21:17:08.494,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,3000), res:0x00000000
1629051428495,2021.08.15 21:17:08.495,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2000,1000), res:0x00000000
1629051439927,2021.08.15 21:17:19.927,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,3000), res:0x00000000
1629051439928,2021.08.15 21:17:19.928,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2000,1000), res:0x00000000
